Name,Operator,Type,Status,Completed,Year,State,Region,Cost,Miles,Capacity,Diameter,Pipeline,Authority,Docket
Tenneco Deepwater Link Project,Tennessee Gas Pipeline Co,New Pipeline,Completed,7/1/07,2007,GM,Gulf of Mexico,40,1,1000," 24,20 ", Interstate ,FERC/MMS,CP05-100
KM REX Processing Plant Lateral,Kinder Morgan Inc,Lateral,Completed,11/15/07,2007,WY,Central,15.2,2.6,150, 16 , Interstate ,FERC,CP07-383
Eastern Shore 2007 Expansion,Eastern Shore Natural Gas,Expansion,Completed,12/15/07,2007,"PA,MD,DE",Northeast,7.95,11,10.3," 16,10 ", Interstate ,FERC,CP06-53
Trunkline North Texas 2007 Expansion,Trunkline Gas Co,Expansion,Completed,11/20/07,2007,"TX,LA",Southwest,178.9,45,625, 36 , Interstate ,FERC,CP06-452
KM Rockies Express (Entrega) Phase 1 Seg 2,Rockies Express Pipeline,New Pipeline,Completed,2/15/07,2007,"WY,CO",Central,400,192,750, 42 , Interstate ,FERC,CP04-413
Northeast ConneXion-New England,Tennessee Gas Pipeline Co,Expansion,Completed,11/1/07,2007,"NY,MA",Northeast,110.8,,136, 24 , Interstate ,FERC,CP05-412
Northern Columbus Last Phase,Columbia Gas of Ohio,Expansion,Completed,6/27/06,2006,OH,Northeast,41,24,100," 24,20,12 ", Intrastate ,State,na
Bossier Loop Phase 1,Regency Intrastate Pipeline Co,Expansion,Completed,10/1/06,2006,LA,Southwest,25,16,100, 24 , Intrastate ,State,na
ANR Wisconsin 2006 Expansion Project,ANR Pipeline,Expansion,Completed,12/15/06,2006,"MI,WI",Midwest,48.1,6.86,168.2," 30,16 ", Interstate ,FERC,CP05-364
ETenn Jewell Ridge Lateral,East Tennessee Nat Gas Co,Lateral,Completed,11/1/06,2006,VA,Northeast,53,32,235, 20 , Interstate ,FERC,CP05-413
NGPL A/G Line Expansion,Nat Gas P L Co of America,Expansion,Completed,12/31/06,2006,TX,Southwest, 16 ,, 139 ,30,Interstate,FERC,na
TransColorado North Expansion Project,TransColorado Pipeline,Expansion,Completed,1/1/06,2006,CO,Central,16.3,,300," 24,12 ", Interstate ,FERC,CP05-45
ET Mayprearl to Mansfield Line,Energy Transfer Co,New Pipeline,Completed,12/15/06,2006,TX,Southwest, 48 , 24 , 400 ,24,Intrastate,State,na
CGT Line 1278 Replacement,Columbia Gas Transmission,Expansion,Completed,11/22/06,2006,PA,Northeast, 85 , 43 , 9 ,20,Interstate,FERC,CP04-34
NGPL Segment One Expansion,Nat Gas P L Co of America,Expansion,Completed,4/15/06,2006,"TX,OK",Southwest,10.6,,20, 20 , Interstate ,FERC,CP05-34
Atmos/Enbridge X-Line Expansion,Atmos Energy Inc,Expansion,Completed,8/1/06,2006,TX,Southwest,20,,150, 36 , Intrastate ,State,na
Northern Border Chicago Expansion III,Northern Border Pipeline,Expansion,Completed,5/1/06,2006,"IA,IL,IN","Central,Midwest", 21 ,, 130 ,,Interstate,FERC,CP05-88
Dominion Northeast TL-527 Line Project,Dominion Transmission,Lateral,Completed,6/16/06,2006,"WV,PA,NY",Northeast,31.15,23.67,200," 20,16,8 ", Interstate ,FERC,CP04-365
TGT West Greenville-Elkton Lateral,Texas Gas Transmission,Expansion,Completed,12/20/06,2006,KY,Southeast, 14 , 28 , 80 ,"12,10",Interstate,FERC,CP06-22
NWPL Capacity Replacement Project,Northwest Pipeline Co,Expansion,Completed,12/1/06,2006,WA,Western,333,80,360," 36,26 ", Interstate ,FERC,CP05-32
Rendezvous Pipeline Lateral,Rendezvous Gas Pipeline,Lateral,Completed,11/15/06,2006,WY,Central, 11 , 21 , 300 ,20,Interstate,FERC,CP05-40
NGPL A/G Cross Haul Expansion,Nat Gas P L Co of America,Expansion,Completed,4/30/06,2006,OK,Southwest, 10 ,, 31 ,"36,30",Interstate,FERC,CP05-34
CrossTex Fort Worth Basin Pipeline,Crosstex Energy Services,New Pipeline,Completed,4/1/06,2006,TX,Southwest, 115 , 122 , 250 ,24,Intrastate,State,na
SSTAR Ozark Trails Expansion Project,Southern Star Central PL Co,Expansion,Completed,11/29/06,2006,"OK,KS,MO","Southwest,Central", 2 , 2 , 25 ,"26,20,16",Interstate,FERC,CP06-94
CrossTex Goforth Gas Plant Header,Crosstex Energy Services,Expansion,Completed,3/1/06,2006,TX,Southwest, 30 , 47 , 30 ,"24,16",Intrastate,State,na
CrossTex Azle Gas Plant Header,Crosstex Energy Services,Expansion,Completed,3/1/06,2006,TX,Southwest, 20 , 30 , 55 ,16,Intrastate,State,na
North Side Loop (NSL) East Side,Atmos Energy Inc,New Pipeline,Completed,10/1/06,2006,TX,Southwest, 25 , 25 , 225 ,30,Intrastate,State,na
ET Barnett-Texoma Expansion Phase 1,Energy Transfer Co,New Pipeline,Completed,9/1/06,2006,TX,Southwest, 110 , 97 , 600 ,42,Intrastate,State,na
KM Rockies Express (Entrega) Phase 1 Seq 1,Rockies Express Pipeline,New Pipeline,Completed,1/25/06,2006,"CO,WY",Central, 180 , 136 ,750,36,Interstate,FERC,CP04-413
Eastern Shore 2006 Expansion,Eastern Shore Natural Gas,Expansion,Completed,11/1/06,2006,"PA,MD,DE",Northeast, 17 , 35 ,26.2,"16,10,6",Interstate,FERC,CP06-53
Union Gas 2006 Expansion,Union Gas LTD,Expansion,Completed,11/1/06,2006,ON,Canada,120,22,372,, Foreign ,NEB of Canada,na
ET Barnett-Texoma Expansion Phase 2,Energy Transfer Co,Expansion,Completed,12/1/06,2006,TX,Southwest,65,32,500, 42 , Intrastate ,State,na
CEGT Round Mountain Expansion,Centerpoint Energy Gas Transmission,Expansion,Completed,1/5/06,2006,AR,Southwest,5.98,,70,, Interstate ,FERC,CP04-377
Heartland Pipeline,ProLiance Energy LLC,New Pipeline,Completed,12/1/06,2006,IN,Midwest,17,25,80, 16 , Intrastate ,State,na
Windsor Energy Gathering Lateral,Windsor Energy Inc,Lateral,Completed,7/1/06,2006,WY,Central,20,21,300, 10 , Intrastate ,State,na
Liberty Storage Pipeline,Liberty Gas Storage LLC,Lateral,Completed,12/1/06,2006,LA,Southwest,30,23,1000, 30 , Interstate ,FERC,CP05-94
FGT Turkey Point Lateral,Florida Gas Trans Co,Lateral,Completed,12/1/06,2006,FL,Southeast,19.6,0.3,100, 24 , Interstate ,FERC,CP05-64
Overthrust Extension,Questar Overthrust Pipeline Co,Expansion,Completed,12/15/06,2006,WY,Central,51.5,27.1,550, 36 , Interstate ,FERC,CP06-167
Lodi (Kirby Hills) Lateral,Lodi Storage Inc,Lateral,Completed,11/1/06,2006,CA,Western,11,6,50, 24 , Intrastate ,State,na
Stagecoach South Lateral,Central New York Oil & Gas,Lateral,Completed,12/12/06,2006,NY,Northeast,10,6,500, 20 , Interstate ,FERC,CP06-64
Cheyenne Plains Supply Lateral,Cheyenne Plains Pipeline Co,Lateral,Completed,12/1/06,2006,CO,Central, 21 , 25 , 48 ,10,Interstate,FERC,CP06-169
CrossTex North Texas Pipeline,Crosstex Energy Services,New Pipeline,Completed,4/1/06,2006,TX,Southwest, 115 , 140 , 250 ,24,Intrastate,State,na
WIG Piceance Line,Wyoming Interstate Gas Co,Expansion,Completed,4/28/06,2006,"CO,WY",Central,136.42,142,350, 24 , Interstate ,FERC,CP05-54
Northeast ConneXion-NY/NJ,Tennessee Gas Pipeline Co,Expansion,Completed,11/16/06,2006,"PA,NJ",Northeast,39,6,101, 30 , Interstate ,FERC,CP05-355
ET Forth Worth Basin Looping,Energy Transfer Co,Expansion,Completed,5/1/06,2006,TX,Southwest, 32 , 24 , 400 ,24,Intrastate,State,na
Freebird Gas Storage Line,Freebird Gas Storage LLC,Lateral,Completed,6/1/06,2006,AL,Southeast,8,4.3,250, 16 , Interstate ,FERC,CP05-29
GS Carthage to Keatchie Pipeline Loop,Gulf South Pipeline,Expansion,Completed,12/15/06,2006,"TX,LA",Southwest, 48 , 21 , 122 ,42,Interstate,FERC,CP06-127
ETenn Piedmont Project,East Tennessee Nat Gas Co,Expansion,Completed,12/1/06,2006,"TN,VA,VA","Southeast,Northeast",15.5,13,20, 24 , Interstate ,FERC,CP01-415
Discovery Market Expansion,Discovery Gas Transmission LLC,Expansion,Completed,7/6/05,2005,"GM,LA","Gulf of Mexico,Southwest", 11 , 3 , 150 ,"16,20",Interstate,FERC,CP03-342
Dominion Cove Point East Project,Dominion Cove Point LNG PL Co,Expansion,Completed,4/29/05,2005,"VA,MD",Northeast, 44 ,, 433 ,36,Interstate,FERC,CP03-74
Tenneco Tewksbury-Andover Lateral,Tennessee Gas Pipeline Co,Lateral,Completed,10/7/05,2005,MA,Northeast,7.7,5.31,25, 8 , Interstate ,FERC,CP04-60
El Paso Line 1903 Conversion,El Paso Natural Gas,Conversion,Completed,12/30/05,2005,"AZ,CA",Western, 78 , 94 ,502,30,Interstate,FERC,CP05-02
ET Forth Worth Basin Pipeline,Energy Transfer Co,New Pipeline,Completed,6/1/05,2005,TX,Southwest,53,54,650, 24 , Intrastate ,State,na
Eastern Shore 2003-5 Expansion Phase 3,Eastern Shore Natural Gas,Expansion,Completed,11/30/05,2005,"PA,MD,DE",Northeast, 14 , 24 ,9.9,16,Interstate,FERC,CP03-80
FGT Interconnect,Dominion South Pipeline Co,Expansion,Completed,12/16/05,2005,TX,Southwest,2.26,0.01,200, 12 , Interstate ,FERC,CP05-76
Enbridge East Texas Pipeline,Enbridge Energy Pipeline Co,New Pipeline,Completed,5/6/05,2005,TX,Southwest, 130 , 107 , 500 ,36,Intrastate,State,na
SONAT Triangle Upgrade,Southern Natural Gas Co,Expansion,Completed,10/15/05,2005,GA,Southeast, 19 , 17 ,,"30,16",Interstate,FERC,CP04-340
Eastern North Carolina Outer Banks,Eastern North Carolina PL Co,Expansion,Completed,10/1/05,2005,NC,Southeast, 5 , 10 , 30 ,6,Intrastate,State,na
Marion/Delaware Cos Extension,Suburban Gas Co,Expansion,Completed,11/15/05,2005,OH,Northeast, 9 , 20 , 100 ,12,Intrastate,State,na
Questar Southern Sys 2005 Expansion,Questar Pipeline,Expansion,Completed,11/1/05,2005,UT,Central, 55 , 19 , 102 ,24,Interstate,FERC,CP05-05
Gulfstream Pipeline Phase 2,Gulfstream Natural Gas System,Lateral,Completed,1/31/05,2005,FL,Southeast, 237 , 110 , 175 ,"30,24",Interstate,FERC,CP00-06
Cheyenne Plains Expansion,Cheyenne Plains Pipeline Co,Expansion,Completed,11/7/05,2005,"CO,KS",Central, 8 ,, 170 ,36,Interstate,FERC,CP04-345
CEGT Line2-AD-24 Childes Lateral,Centerpoint Energy Gas Transmission,Lateral,Completed,12/14/05,2005,OK,Southwest, 4 , 24 , 400 ,"24,20,16",Interstate,FERC,CP05-58
Petal Gas Capacity Increase,Petal Gas Storage LLC,Lateral,Completed,5/1/05,2005,MS,Southeast, 1 ,, 620 ,36,Interstate,FERC,CP04-424
KM Rancho Pipeline Phase II,Kinder Morgan Energy Partners,Conversion,Completed,10/31/05,2005,TX,Southwest, 40 , 254 , 150 ,24,Intrastate,State,na
TW San Juan 2005 Expansion,Transwestern Pipeline Co,Expansion,Completed,5/1/05,2005,NM,Southwest, 138 , 73 , 375 ,36,Interstate,FERC,CP04-104
ANR EastLeg Expansion,ANR Pipeline,Lateral,Completed,11/1/05,2005,WI,Midwest, 19 , 8 , 143 ,"30,8",Interstate,FERC,CP04-51
CIG Raton Basin 2005 Expansion,Colorado Interstate Gas Co,Expansion,Completed,12/15/05,2005,"CO,KS,OK","Central,Southwest", 60 , 102 , 104 ,"24,20,16",Interstate,FERC,CP05-50
Salt River Landfill Line,SRG (Saltriver Group) Inc,Lateral,Completed,12/15/05,2005,AZ,Western, 2 , 3 , 2 ,12,Intrastate,State,na
ANR NorthLeg Expansion,ANR Pipeline,Expansion,Completed,12/16/05,2005,WI,Midwest, 14 ,, 105 ,,Interstate,FERC,CP04-01
CEGT Line AD Expansion Project,Centerpoint Energy Gas Transmission,Expansion,Completed,11/30/05,2005,"OK,TX",Southwest, 32 ,, 113 ,"42,24",Interstate,FERC,CP05-03
Transco Central New Jersey Expansion Project,Transcontinental Gas Pipeline,Expansion,Completed,11/1/05,2005,NJ,Northeast, 12 , 4 , 105 ,36,Interstate,FERC,CP04-396
NWPL White River Project,Northwest Pipeline Co,Expansion,Completed,6/7/05,2005,WA,Western, 29 , 2 ,,"30,26",Interstate,FERC,CP03-32
North Side Loop (NSL) West Side,Atmos Energy Inc,New Pipeline,Completed,5/1/05,2005,TX,Southwest, 24 , 22 , 225 ,30,Intrastate,State,na
Energy Bridge Connection Line,Excelerate Energy LLC,Expansion,Completed,3/21/05,2005,GM,Gulf of Mexico, 5 , 8 , 690 ,20,Interstate,MMS,na
Northern Louisiana Expansion (Winnsboro Ext),Regency Intrastate Pipeline Co,Expansion,Completed,12/15/05,2005,LA,Southwest, 157 , 120 , 615 ,"30,24",Intrastate,State,na
NNG Bluff Creek/Tomah Expansion,Northern Natural Gas Co,Expansion,Completed,11/1/05,2005,MN,Midwest, 8 , 3 , 2 ,30,Interstate,FERC,CP05-49
Consumers Oakland East Portion,Consumers Energy Inc,New Pipeline,Completed,11/5/05,2005,MI,Midwest, 28 , 11 , 135 ,36,Intrastate,State,na
Horseshoe Lake Lateral (A-334),Mississippi River Transmission,Lateral,Completed,5/1/05,2005,IL,Midwest, 18 , 4 , 134 ,20,Interstate,FERC,CP04-346
Trunkline Lake Charles Lateral Loop 2005,Trunkline Gas Co,Expansion,Completed,10/1/05,2005,LA,Southwest, 40 , 23 ," 1,100 ",36,Interstate,FERC,CP04-64
Eastern Shore 2003-5 Expansion Phase 2,Eastern Shore Natural Gas,Expansion,Completed,12/14/04,2004,"PA,MD,DE",Northeast, 3 , 3 , 5 ,16,Interstate,FERC,CP03-80
Acuna Export Crossing,West Texas Gas Co,Lateral,Completed,10/14/04,2004,"TX,MX","Southwest,Mexico", 2 , 9 , 25 ,8,Interstate,FERC,CP02-97
SONAT South Sys Expansion II Phase 3,Southern Natural Gas Co,Expansion,Completed,5/1/04,2004,"AL,GA",Southeast, 95 , 46 , 138 ,20,Interstate,FERC,CP02-01
We Port Washington Lateral,We Energies Inc,Lateral,Completed,12/6/04,2004,WI,Midwest, 46 , 17 , 143 ,"24,20",Intrastate,State,na
NWPL Everett Delta Lateral,Northwest Pipeline Co,Expansion,Completed,11/1/04,2004,WA,Western, 25 , 9 , 113 ,16,Interstate,FERC,CP01-49
NEGASCO Interconnect,Yankee Gas Services Co,Expansion,Completed,11/1/04,2004,CT,Northeast, 5 , 9 , 5 ,"12,8",Interstate,FERC,CP04-02
KM Huntsman Expansion,KM Interstate Pipeline Co,Expansion,Completed,6/1/04,2004,"CO,NE",Central, 27 ,, 62 ,"12,8",Interstate,FERC,CP03-39
Dominion Mid-Atlantic Expansion,Dominion Transmission,Expansion,Completed,11/1/04,2004,"WV,PA,VA",Northeast, 78 ,, 217 ,,Interstate,FERC,CP03-41
ANR WestLeg Expansion,ANR Pipeline,Expansion,Completed,10/1/04,2004,WI,Midwest, 42 , 33 , 220 ,"30,20,12",Interstate,FERC,CP02-434
NNG Pleasant Hill Project,Northern Natural Gas Co,Lateral,Completed,11/1/04,2004,IA,Central, 4 , 3 , 96 ,16,Interstate,FERC,CP04-28
SSTAR Southwest Missouri Expansion Proj,Southern Star Central PL Co,Lateral,Completed,10/1/04,2004,"KS,MO",Central, 11 , 16 , 67 ,20,Interstate,FERC,CP02-416
Santan Expansion Lateral,SRG (Saltriver Group) Inc,Lateral,Completed,8/1/04,2004,AZ,Western, 31 , 36 , 200 ,24,Intrastate,State,na
South Mist Storage Link Phase V,Northwest Natural Gas Co,Lateral,Completed,11/1/04,2004,OR,Western, 85 , 50 , 320 ,24,Intrastate,State,na
Transco Momentum Phase II,Transcontinental Gas Pipeline,Expansion,Completed,2/1/04,2004,"AL,MS,GA,SC,VA","Southeast,Northeast", 25 , 26 , 53 ,42,Interstate,FERC,CP01-388
Montrose/Ouray Lateral,Rocky Mountain Pipeline Co,Lateral,Completed,6/24/04,2004,CO,Central, 20 , 58 , 14 ,"8,6",Intrastate,State,na
Coos Bay Project,Coos County Pipeline Co,New Pipeline,Completed,12/31/04,2004,OR,Western, 28 , 72 , 70 ,"12,6,4",Intrastate,State,na
Concord-Tilton Expansion Phase 1&2a,KeySpan Energy Delivery Inc,Expansion,Completed,11/10/04,2004,NH,Northeast, 4 , 7 , 50 ,12,Intrastate,State,na
WIG Echo Springs Lateral,Wyoming Interstate Gas Co,Lateral,Completed,11/1/04,2004,WY,Central, 12 , 5 , 110 ,16,Interstate,FERC,CP04-90
ET Kathy Bossier Pipeline,Energy Transfer Co,New Pipeline,Completed,7/21/04,2004,TX,Southwest, 40 , 78 , 500 ,36,Intrastate,State,na
Columbus 3 Storage Pipelines,Bluewater Gas Storage LLC,Lateral,Completed,11/1/04,2004,MI,Midwest, 2 , 2 , 700 ,20,Intrastate,State,na
CIG Cheyenne Station Upgrade,Colorado Interstate Gas Co,Expansion,Completed,12/1/04,2004,CO,Central, 5 ,, 120 ,,Interstate,FERC,CP03-301
CIG Cheyenne Plains Pipeline,Colorado Interstate Gas Co,Expansion,Completed,12/1/04,2004,"CO,KS",Central, 410 , 380 , 560 ,36,Interstate,FERC,CP03-302
Algonquin Everett Alternative Project,Algonquin Gas Transmission,Expansion,Completed,10/1/04,2004,MA,Northeast, 12 , 0 , 60 ,24,Interstate,FERC,CP04-67
"MarkWest Pinnacle ""Hobbs"" Lateral Expansion",MarkWest New Mexico LP,Lateral,Completed,4/1/04,2004,NM,Southwest, 1 , 2 , 124 ,12,Interstate,FERC,CP03-323
Questar Jurisdictional Tap Line (JTL) 113,Questar Pipeline,Lateral,Completed,12/10/04,2004,UT,Central, 16 , 13 , 190 ,20,Interstate,FERC,CP04-335
KM Rancho Pipeline Phase I,Kinder Morgan Energy Partners,Conversion,Completed,7/13/04,2004,TX,Southwest, 30 , 177 , 170 ,24,Intrastate,State,na
TETCO Dominion Expansion,Texas Eastern Transmission,Expansion,Completed,11/1/04,2004,PA,Northeast, 83 , 35 , 217 ,36,Interstate,FERC,CP03-43
El Paso Bondad 04 Expansion Proj,El Paso Natural Gas,Expansion,Completed,4/1/04,2004,"CO,NM","Central,Southwest", 7 ,, 140 ,,Interstate,FERC,CP03-57
Iroquois Eastchester Marine Expansion,Iroquois Pipeline Co,Lateral,Completed,2/5/04,2004,"ON,CT,NY","Canada,Northeast", 334 , 37 , 230 ,24,Interstate,FERC,CP00-232
TransColorado 2004 Expansion,TransColorado Pipeline,Expansion,Completed,9/1/04,2004,"CO,NM","Central,Southwest", 33 ,, 125 ,22,Interstate,FERC,CP04-12
El Paso Power-Up Expansion III,El Paso Natural Gas,Expansion,Completed,5/1/04,2004,"TX,NM,AZ,CA","Southwest,Western", 63 ,, 100 ,30,Interstate,FERC,CP03-01
TETCO M-1 2004 Expansion,Texas Eastern Transmission,Expansion,Completed,11/1/04,2004,"TN,AL",Southeast, 27 , 7 , 57 ,36,Interstate,FERC,CP02-381
TW Rewheel Project,Transwestern Pipeline Co,Expansion,Completed,11/19/04,2004,"NM,TX",Southwest, 0 ,, 10 ,24,Interstate,FERC,CP05-04
Gulfstream Martin Connector,Gulfstream Natural Gas System,Expansion,Completed,12/1/04,2004,FL,Southeast, 14 , 5 , 350 ,30,Interstate,FERC,CP04-09
El Paso Power-Up Expansion I&II,El Paso Natural Gas,Expansion,Completed,5/1/04,2004,"TX,NM,AZ,CA","Southwest,Western", 110 ,, 220 ,30,Interstate,FERC,CP03-01
CEGT Line ACT-9,Centerpoint Energy Gas Transmission,Lateral,Completed,9/1/03,2003,OK,Southwest, 1 , 1 , 240 ,20,Interstate,FERC,CP03-06
Algonquin HubLine,Algonquin Gas Transmission,Expansion,Completed,11/24/03,2003,MA,Northeast, 127 , 29 , 295 ,"30,24",Interstate,FERC,CP01-05
MidAmerican Des Moines Lateral,MidAmerican Energy Inc,Lateral,Completed,6/1/03,2003,IA,Central, 2 , 13 , 175 ,20,Intrastate,State,na
CGT Rock Springs Expansion,Columbia Gas Transmission,Lateral,Completed,12/10/03,2003,"PA,MD",Northeast, 29 , 9 ,263,"24,10",Interstate,FERC,CP02-142
CIG Valley Line II (winter-time enhancement),Colorado Interstate Gas Co,Expansion,Completed,12/1/03,2003,CO,Central, 13 ,, 42 ,,Interstate,FERC,CP03-07
Dominion Ellisburg-Liedy Expansion,Dominion Transmission,Expansion,Completed,11/15/02,2003,PA,Northeast, 10 ,, 127 ,,Interstate,FERC,CP02-44
CIG Valley Line III (summer-time enhancement),Colorado Interstate Gas Co,Expansion,Completed,12/1/03,2003,CO,Central, 10 ,, 50 ,,Interstate,FERC,CP03-07
NNG Project MAX Expansion,Northern Natural Gas Co,Expansion,Completed,11/1/03,2003,MN,Midwest, 6 , 5 , 34 ,8,Interstate,FERC,CP02-436
Regent Border Station,Regent Resources Ltd,Expansion,Completed,9/1/03,2003,"AB,MT","Canada,Central", 0 , 4 , 20 ,4,Interstate,FERC,CP03-08
WB Grasslands Project I,Williston Basin Interstate PL,New Pipeline,Completed,12/1/03,2003,"WY,MT,ND",Central, 79 , 253 , 80 ,"16,8",Interstate,FERC,CP02-37
Questar Southern System Expansion,Questar Pipeline,Expansion,Completed,1/11/03,2003,CO,Central, 4 ,, 90 ,,Interstate,FERC,na
Questar Overthrust Tie Line 112,Questar Pipeline,Expansion,Completed,10/6/03,2003,"UT,WY",Central, 13 , 17 , 217 ,24,Interstate,FERC,CP03-36
Shoshone Pipeline,Energy West Development Inc,Conversion,Completed,10/1/03,2003,"WY,MT",Central, 0 , 34 , 14 ,6,Interstate,FERC,CP03-02
Questar Kern Expansion,Questar Pipeline,Expansion,Completed,5/1/03,2003,WY,Central, 1 ,, 150 ,,Interstate,FERC,na
Paiute Carson Lateral Upgrade,Paiute Pipeline,Expansion,Completed,11/1/03,2003,NV,Western, 11 , 15 , 6 ,20,Interstate,FERC,CP03-31
Wild Goose Lateral,Wild Goose Storage Inc,Lateral,Completed,11/20/03,2003,CA,Western, 20 , 25 , 700 ,30,Intrastate,State,na
NWPL Rockies Expansion,Northwest Pipeline Co,Expansion,Completed,11/1/03,2003,"WY,OR","Central,Western", 139 , 91 , 175 ,"26,30",Interstate,FERC,CP01-438
NWPL Ridges Basin Dam Project,Northwest Pipeline Co,Expansion,Completed,12/15/03,2003,CO,Central, 17 , 7 ,,26,Interstate,FERC,CP02-423
Saltville Storage Lateral,Saltville Gas Storage Co,Lateral,Completed,11/1/03,2003,VA,Northeast, 5 , 7 , 550 ,24,Interstate,FERC,CP04-13
South Mist Storage Link Phase IV,Northwest Natural Gas Co,Lateral,Completed,12/12/03,2003,OR,Western, 19 , 12 , 320 ,24,Intrastate,State,na
Ninilchik Pipeline,Kenai Kachemak Pipeline LLC,New Pipeline,Completed,10/1/03,2003,AK,Alaska, 25 , 33 , 120 ,12,Intrastate,State,na
KR Mainline 2003 System Expansion,Kern River Gas Transmission,Expansion,Completed,5/1/03,2003,"WY,UT,NV,CA","Central,Western"," 1,260 ", 716 , 900 ,36,Interstate,FERC,CP01-422
Niagara Mohawk Expansion,Niagara Mohawk Power Co,Lateral,Completed,11/1/03,2003,NY,Northeast, 2 , 9 , 200 ,24,Intrastate,State,na
Maritimes & Northeast Phase III Expansion,Maritimes & Northeast Pipeline,Expansion,Completed,11/24/03,2003,MA,Northeast, 134 , 25 , 230 ,"30,24",Interstate,FERC,CP01-4
KM Midcon Texas Pipeline Expansion,Kinder Morgan Texas Pipeline,New Pipeline,Completed,3/20/03,2003,TX,Southwest, 32 , 9 , 375 ,30,Interstate,FERC,CP96-140
KM Midcon Roma Export Station,Kinder Morgan Texas Pipeline,Expansion,Completed,3/20/03,2003,"TX,MX","Southwest,Mexico", 1 , 0 , 375 ,30,Interstate,FERC,CP96-583
FGT Phase V Stage 4,Florida Gas Trans Co,Expansion,Completed,5/1/03,2003,"MS,AL,FL",Southeast, 132 , 136 , 130 ,"24,36,16",Interstate,FERC,CP00-40
Hutchinson Pipeline Project,Hutchinson Utilities Inc,New Pipeline,Completed,10/1/03,2003,MN,Midwest, 27 , 89 , 60 ,"16,12",Intrastate,State,na
FGT Phase VI Project,Florida Gas Trans Co,Expansion,Completed,12/1/03,2003,"AL,FL",Southeast, 105 , 33 , 121 ,36,Interstate,FERC,CP02-27
We Ixonia Lateral,We Energies Inc,Lateral,Completed,12/1/03,2003,WI,Midwest, 97 , 35 , 515 ,30,Intrastate,State,na
West Texas Gas Export Expansion,West Texas Gas Co,Expansion,Completed,2/14/03,2003,"TX,MX","Southwest,Mexico", 0 , 1 , 9 ,12,Interstate,FERC,CP02-382
Rio Bravo Lateral,Gasoducto del Rio,Expansion,Completed,12/1/03,2003,"TX,MX","Southwest,Mexico", 1 , 6 , 320 ,30,Interstate,State,na
NWPL Evergreen Expansion,Northwest Pipeline Co,Expansion,Completed,10/9/03,2003,WA,Western, 241 , 26 , 268 ,36,Interstate,FERC,CP02-04
SONAT South Sys Expansion I Phase 2,Southern Natural Gas Co,Expansion,Completed,6/1/03,2003,"MS,AL,SC,GA",Southeast, 86 , 41 , 196 ,"36,20",Interstate,FERC,CP00-233
Tenneco Can-East/Leidy Extn,Tennessee Gas Pipeline Co,Expansion,Completed,5/15/03,2003,"PA,NY",Northeast, 10 ,, 150 ,,Interstate,FERC,CP02-46
Tenneco South Texas Export,Tennessee Gas Pipeline Co,Expansion,Completed,7/1/03,2003,"TX,MX","Southwest,Mexico", 40 , 9 , 312 ,"30,24",Interstate,FERC,CP02-116/117
ETenn Patriot Extension I,East Tennessee Nat Gas Co,Expansion,Completed,11/19/03,2003,"VA,NC","Northeast,Southeast", 225 , 95 , 315 ,"24,20",Interstate,FERC,CP01-415
Transco Momentum Phase I,Transcontinental Gas Pipeline,Expansion,Completed,5/1/03,2003,"LA,AL,MS,GA,SC,NC","Southwest,Southeast", 164 , 42 , 262 ,"42,48",Interstate,FERC,CP01-388
SCANA Elba Island Connection,SCG Pipeline Inc,New Pipeline,Completed,10/1/03,2003,"GA,SC",Southeast, 36 , 18 , 185 ,20,Interstate,FERC,CP02-57
Eastern Shore 2003-5 Expansion Phase 1,Eastern Shore Natural Gas,Expansion,Completed,11/1/03,2003,"PA,MD,DE",Northeast, 1 ,, 4 ,16,Interstate,FERC,CP03-80
SONAT South Sys Expansion II Phase 1*,Southern Natural Gas Co,Expansion,Completed,10/1/03,2003,"LA,MS,AL,GA","Southwest,Southeast", 70 , 68 , 192 ,"24,20,16",Interstate,FERC,CP02-01
SONAT South Sys Expansion II Phase 1A*,Southern Natural Gas Co,Expansion,Completed,11/5/03,2003,"MS,AL",Southeast, 62 , 24 , 98 ,"30,36",Interstate,FERC,CP02-01
SONAT North System Expansion,Southern Natural Gas Co,Lateral,Completed,11/1/03,2003,AL,Southeast, 25 , 5 , 33 ,"24,20,16",Interstate,FERC,CP01-161
Transco Trenton-Woodbury Loop,Transcontinental Gas Pipeline,Lateral,Completed,11/1/03,2003,"NJ,PA",Northeast, 33 , 10 , 49 ,"36,24",Interstate,FERC,CP02-204
NorthCoast Gas Trans Compression Addition,Somerset Gas Transmission Inc,Expansion,Completed,5/1/03,2003,OH,Northeast, 2 ,, 42 ,12,Intrastate,State,na
Sierra Border Station,Sierra Production Co,Expansion,Completed,10/4/03,2003,"AB,MT","Canada,Central", 0 , 2 , 24 ,6,Interstate,FERC,CP01-416
TETCO Freehold Lateral,Texas Eastern Transmission,Lateral,Completed,12/1/02,2002,NJ,Northeast, 28 , 13 , 25 ,36,Interstate,FERC,CP02-17
KM Horizon Pipeline Project,Kinder Morgan Energy Partners,New Pipeline,Completed,5/10/02,2002,"IL,WI",Midwest, 75 , 29 , 380 ,36,Interstate,FERC,CP00-129
